epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
49,73730.4,0.07889,0.98645,1,0.04069,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,73864.3,0.08041,0.98645,1,0.04042,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,73993.2,0.0777,0.98645,1,0.04051,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,74103.1,0.07821,0.98645,1,0.04034,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,74211.2,0.07633,0.98655,1,0.04014,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,74330.3,0.07837,0.98666,1,0.04006,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,74465,0.07489,0.98698,1,0.03998,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,74605.8,0.07593,0.98708,1,0.04003,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,74745.1,0.07722,0.98729,1,0.03963,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,74881.6,0.07598,0.9874,1,0.03946,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,75022.6,0.07249,0.98751,1,0.03927,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,75161.1,0.07452,0.9874,1,0.03929,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,75299.6,0.07359,0.98729,1,0.03928,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,75440.8,0.0729,0.98729,1,0.03911,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,75576.9,0.07438,0.9874,1,0.03921,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,75725.6,0.07225,0.98751,1,0.03897,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,75873.1,0.06894,0.98782,1,0.03872,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,76016,0.06959,0.98761,1,0.03858,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,76156.2,0.06931,0.9874,1,0.0385,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,76294.6,0.06924,0.98761,1,0.03841,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,76433.7,0.06913,0.98772,1,0.03804,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
